In 1768 Captain James Cook set out to explore which ocean?;Pacific Ocean¤Atlantic Ocean¤Indian Ocean¤Arctic;0
Which of the following is not an international organisation?;FIFA¤NATO¤ASEAN¤FBI;3
Which of the following disorders is the fear of being alone?;Agoraphobia¤Aerophobia¤Acrophobia¤Arachnophobia;0
Which of the following is a song by the German heavy metal band “Scorpions”?;Stairway to Heaven¤Wind of Change¤Don´t stop me Now¤Hey Jude;1
What is the speed of sound?;120 kmh/h¤1200km/h¤400km/h¤700 km/h;1
Which is the easiest way to tell the age of many trees?;To measure the width of the tree¤To count the rings on the trunk¤To count the number of leaves¤To measure the height of the tree;1
What do we call a newly hatched butterfly?;A moth¤A butter¤A caterpillar¤ A chrysalis;2
In total how many novels were written by the Bronte sisters?;4¤5¤6¤7;3
Which did Viking people use as money?;Rune stones¤Jewellery¤Seal skins¤Wool;1
What was the first country to use tanks in combat during World War I?;France¤Japan¤Britain¤Germany;2
What is the main component of the sun?;Liquid lava¤Gas¤Molten iron¤Rock;1
Goulash is a type of beef soup in which country?;Hungary¤Czech Republic¤Slovakia¤Ireland;0
Which two months are named after Emperors of the Roman Empire?;January and February¤March and April¤May and June¤July and August;3
Which of the following animals can run the fastest?;Cheetah¤Leopard¤Tiger¤Lion;0
Where did the powers of Spiderman come from?;He was born with them¤He was bitten by a radioactive spider¤He went through a scientific experiment¤He woke up with them after a dream;1
What is the most points that a player can score with a single throw in darts?;20¤40¤60¤80;2
In the United States football is called soccer. So what is American football called in the United Kingdom?;Rugby¤American football¤Handball¤Combball;1
Which of the following actors was the first one to play James Bond?;Timothy Dalton¤Roger Moore¤Sean Connery¤George Lazenby;2
In which country is Transylvania?;Bulgaria¤Romania¤Croatia¤Serbia;1
Which football club does Jordan Henderson play for?;Liverpool¤Manchester City¤Tottenham Hotspur¤Chelsea;0
The two biggest exporters of beers in Europe are Germany and …;Spain¤France¤Italy¤Belgium;3
The phrase: ”I think therefore I am” was coined by which philosopher?;Socrates¤Plato¤Aristotle¤Descartes;3
In the series “Game of Thrones” Winterfell is the ancestral home of which family?;The Lannisters¤The Starks¤The Tully’s¤The Targaryens;1
Who is known as the Patron Saint of Spain?;St Patrick¤St Benedict¤St James¤St John;2
What does the term “SOS” commonly stand for?;Save Our Sheep¤Save Our Ship¤Save Our Seal¤Save Our Souls;3
Which company is known for publishing the Mario video game?;Xbox¤Nintendo¤SEGA¤Electronic Arts;1
